cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,457915123751355008,39.040909,57.505061,-0.246171,-1.163271,0.022036,0.022291,0.424831,0.027437,15.129427,15.543669,14.524877,1.069009,0.000000,0.966963,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022291777496832,38.353233,57.510389,-0.316384,-1.042109,0.061501,0.061829,0.354313,0.072580,16.930033,17.736345,16.036762,1.018918,0.550289,0.976688,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022532295700992,38.267994,57.472254,-0.283621,-1.149713,0.024619,0.027300,0.426252,0.031042,15.237262,15.632811,14.661112,1.083490,0.718092,0.993059,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022532295702912,38.255336,57.471791,-0.294253,-1.099198,0.015141,0.016443,0.439941,0.018741,14.242098,14.603825,13.700422,0.976215,0.756538,0.994150,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022562353600512,38.263425,57.481759,-0.312166,-1.068024,0.031005,0.033168,0.464330,0.038129,15.823734,16.294153,15.176750,1.004355,0.634788,0.986839,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023116411200896,38.335631,57.533220,-0.338629,-1.103632,0.048166,0.049802,0.437183,0.064400,16.628410,17.306337,15.812511,0.942994,0.947499,0.986711,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023116411207552,38.324897,57.526721,-0.348251,-1.188332,0.014270,0.015596,0.435261,0.019265,11.768575,12.054139,11.306491,1.276855,0.829500,0.987433,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024078483833216,38.439877,57.572105,-0.278769,-1.115178,0.021736,0.023601,0.480799,0.028043,15.005161,15.390185,14.430836,1.044623,0.678105,0.966389,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024765670988416,38.382921,57.569184,-0.350492,-1.172286,0.012469,0.012831,0.405274,0.015919,10.538606,10.797429,10.107277,1.012555,1.000000,0.992532,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458008062541226624,38.740935,57.462903,-0.271887,-1.094831,0.055581,0.057745,0.352767,0.071239,16.951267,17.794128,16.048933,1.012397,0.000000,0.966105,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458010265869085952,38.477718,57.468544,-0.318577,-1.127703,0.020538,0.021549,0.406654,0.026324,14.938556,15.428244,14.267813,1.025482,0.648808,0.994010,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024868757812736,38.398421,57.581092,-0.334064,-1.178025,0.013664,0.015850,0.421451,0.017897,13.956218,14.317718,13.411841,1.005283,0.952602,0.992821,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458025796470820352,38.222766,57.513625,-0.312255,-1.128005,0.039175,0.041829,0.433991,0.046558,16.352764,16.931610,15.608192,1.002911,0.756538,0.990575,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
