Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
NGC_957             ,4463,458017687572666624,1,0.750469557296394,38.09134295,57.3950427,-0.34414649,-1.11831234,0.45345824,16.808416,17.520868,15.977596,            ,38.09134578,57.3950477
NGC_957             ,4463,458017756292135680,1,0.8143591844482276,38.06347623,57.4104569,-0.27098467,-1.07543607,0.40275659,15.471327,15.909031,14.855971,            ,38.06347847,57.4104617
NGC_957             ,4463,458017756292135936,1,0.9393677369050119,38.0708228,57.4087455,-0.23895412,-1.1296153,0.4133764,17.226274,18.08142,16.328997,            ,38.07082477,57.4087505
NGC_957             ,4463,458017859371362944,1,0.6959202947309682,37.98591649,57.4006115,-0.3904002,-1.16902104,0.42068031,11.893614,12.173647,11.439658,            ,37.98591971,57.4006167
NGC_957             ,4463,458018542262985088,1,0.6866950330189822,37.88904969,57.4288768,-0.37386384,-1.17755128,0.40995225,12.320739,12.622479,11.847611,            ,37.88905278,57.428882
NGC_957             ,4463,458019199393796096,1,0.8054198707890443,38.09948555,57.4281016,-0.32458755,-1.05107166,0.40730828,15.75966,16.154863,15.051013,            ,38.09948823,57.4281063
NGC_957             ,4463,458019302480338432,1,0.6956096075707575,38.13492316,57.4358867,-0.23035836,-0.98414515,0.41538941,16.090471,16.603264,15.409961,            ,38.13492507,57.435891
NGC_957             ,4463,458019542998761984,1,0.9095241465848772,38.04869377,57.4623583,-0.35401037,-1.12927351,0.41315518,15.031589,15.432503,14.449523,            ,38.04869669,57.4623633
NGC_957             ,4463,458019611717961216,1,0.9144245054048828,38.09513641,57.4693905,-0.24289747,-1.1387737,0.43643615,16.358019,16.978224,15.594701,            ,38.09513842,57.4693956
NGC_957             ,4463,458019783516650496,1,0.8154903469888674,38.13727978,57.4668584,-0.34214658,-1.03638957,0.44215424,16.428207,17.169632,15.587162,            ,38.13728261,57.466863
NGC_957             ,4463,458019852236111616,1,0.9544020017377528,38.18533085,57.4787542,-0.29145301,-1.10588189,0.45446508,15.034917,15.420552,14.464298,            ,38.18533326,57.4787591
NGC_957             ,4463,458019916653812096,1,0.8252820391254804,38.15439877,57.4915078,-0.1739312,-1.15252339,0.44335881,17.589098,18.448402,16.654577,            ,38.15440021,57.4915129
NGC_957             ,4463,458020122812272384,1,0.8916618304786584,38.1367396,57.503892,-0.28655554,-1.0759604,0.38369972,16.751305,17.410168,15.958495,            ,38.13674197,57.5038968
NGC_957             ,4463,458020505071132672,1,0.8758156058356547,38.0322307,57.5069153,-0.25122559,-1.10950796,0.42396694,15.953913,16.470245,15.268126,            ,38.03223278,57.5069202
NGC_957             ,4463,458020711229554944,1,1.0,38.03700542,57.5173334,-0.27741739,-1.12723535,0.41080602,15.482453,15.931912,14.852843,            ,38.03700771,57.5173384
NGC_957             ,4463,458020951747708032,1,1.0,38.11534627,57.5316409,-0.38505779,-1.10951954,0.41523418,13.142781,13.473539,12.628293,            ,38.11534946,57.5316458
NGC_957             ,4463,458021054826903296,1,1.0,38.09721871,57.5582148,-0.33515266,-1.11552395,0.40971291,16.568373,17.233833,15.767507,            ,38.09722149,57.5582197
NGC_957             ,4463,458021295345076992,1,0.9703636629602848,38.05070141,57.5585162,-0.28413935,-1.10249893,0.42435181,16.138695,16.726057,15.392624,            ,38.05070377,57.5585211
NGC_957             ,4463,458021535863298304,1,0.9428904549012872,38.3841478,57.4461264,-0.4060589,-1.07207622,0.44917086,17.01316,17.74411,16.185888,            ,38.38415116,57.4461312
NGC_957             ,4463,458021604582766720,1,0.8585020161446919,38.3779036,57.4560431,-0.26958748,-1.0632515,0.48285344,16.108654,16.62743,15.428429,            ,38.37790583,57.4560479
NGC_957             ,4463,458021742021729280,1,0.9134984065229512,38.31264149,57.4543098,-0.39226125,-1.15732781,0.41539846,13.915699,14.254382,13.398009,            ,38.31264473,57.4543149
NGC_957             ,4463,458021776381456384,1,0.9098623120557956,38.34163347,57.4629808,-0.21086869,-1.07861944,0.41981121,14.780012,15.150293,14.227463,            ,38.34163522,57.4629856
NGC_957             ,4463,458021845100927104,1,0.8539552855143157,38.31123783,57.4729906,-0.20198248,-1.03618446,0.39625911,15.2893,15.685234,14.711719,            ,38.3112395,57.4729952
NGC_957             ,4463,458021909518470528,1,0.8075759310601242,38.40223425,57.4599093,-0.41118664,-1.01961277,0.44675833,18.57633,19.472616,17.645008,            ,38.40223765,57.4599139
NGC_957             ,4463,458021909518492416,1,0.9676484163016144,38.40382425,57.4646747,-0.3062574,-1.18741855,0.41812423,17.125664,17.925993,16.246311,            ,38.40382679,57.4646799
