cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
11,2.05799E+18,305.631089,37.656243,-3.631559,-6.135545,0.01716,0.019388,0.560338,0.016393,14.528639,15.501631,13.544363,1.026217,0.983896,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05799E+18,305.575096,37.591658,-3.674257,-6.236561,0.025293,0.029629,0.56542,0.02589,15.60757,16.405237,14.719093,0.946876,0.992099,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06101E+18,305.388008,37.846038,-3.646092,-6.140843,0.01336,0.013204,0.545153,0.012902,12.875423,13.406711,12.176496,0.991175,0.922316,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.061E+18,305.569552,37.640547,-3.626972,-6.343846,0.031432,0.03619,0.594563,0.031353,16.01756,17.121809,14.976562,0.949818,0.983746,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.061E+18,305.46499,37.73384,-3.712582,-6.375061,0.042737,0.052275,0.501179,0.047564,16.57203,17.756012,15.440135,1.041551,0.916061,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06101E+18,305.259993,37.824523,-3.57884,-6.227832,0.016266,0.016685,0.561769,0.016037,14.450039,14.947365,13.775026,1.000595,0.954575,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.348478,37.410319,-3.740152,-6.357874,0.041935,0.052182,0.53213,0.044883,16.272747,17.554419,15.167155,1.117948,0.974737,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.380141,37.422421,-3.607955,-6.285151,0.04125,0.045949,0.497036,0.041823,16.400301,17.678204,15.293009,0.961043,0.982021,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.37622,37.440233,-3.563119,-6.487563,0.122968,0.163606,0.559095,0.133298,18.324825,20.16612,17.032688,1.027903,0.950898,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.391192,37.494995,-3.717066,-6.405633,0.021435,0.025651,0.541875,0.021833,15.21781,16.346798,14.164339,1.018276,0.991098,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.341606,37.520642,-3.473522,-6.423979,0.060535,0.073444,0.454351,0.062007,17.265368,18.800287,16.06379,0.982044,0.910623,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.399864,37.487399,-3.662919,-6.293108,0.044695,0.052671,0.605728,0.048498,16.636246,17.94568,15.487963,0.977245,0.991542,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.330209,37.390174,-3.573601,-6.415373,0.010803,0.011137,0.572888,0.010846,10.41083,11.181137,9.544291,0.920107,0.993163,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06098E+18,305.257107,37.628753,-3.516683,-6.283233,0.009475,0.011024,0.566345,0.01005,12.295571,13.027089,11.451436,1.001367,0.995028,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06096E+18,305.235974,37.369615,-3.612379,-6.454932,0.021422,0.021417,0.557682,0.021619,15.057775,16.079432,14.012635,1.033508,0.979956,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06098E+18,305.286162,37.672893,-3.592544,-6.23403,0.025315,0.026787,0.526926,0.027012,15.582891,16.34884,14.713169,1.038819,0.986401,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.442852,37.561677,-3.600049,-6.211869,0.032168,0.041651,0.626938,0.035081,15.94914,16.814966,15.018069,0.980031,0.982364,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.26893,37.495325,-3.623022,-6.434865,0.140248,0.157575,0.468727,0.14443,18.595762,20.277222,17.427914,0.994773,0.930025,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.362416,37.426029,-3.61183,-6.525527,0.136836,0.180174,0.733485,0.153612,18.492449,20.107529,17.306355,0.99291,0.911015,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.395078,37.470312,-3.605018,-6.423008,0.033637,0.038386,0.583859,0.034003,16.074497,17.170115,15.037137,0.963515,0.992751,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.287276,37.49447,-3.562008,-6.467299,0.012342,0.012698,0.599928,0.012133,12.855134,13.605168,11.997187,1.060187,0.902327,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.337351,37.518609,-3.622622,-6.287203,0.016144,0.017171,0.557726,0.016138,14.557137,15.485599,13.596256,0.958108,0.998013,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
