# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Sep 23 15:46:23 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.30000 0.5265915394 2.2632824785    0.526 -0.435  3.5586  3.780    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.28e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.857 6.626 7.789 5.561
0.0152 0.01508 6.30000 0.5464318991 2.2806819046    0.546 -0.407  3.5635  3.788    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.59e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.787 6.520 7.645 5.472
0.0152 0.01508 6.30000 0.5500000119 2.2836582633    0.550 -0.402  3.5643  3.790    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.64e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.776 6.502 7.621 5.457
0.0152 0.01508 6.30000 0.5584031940 2.2904953199    0.558 -0.391  3.5663  3.793    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.747 6.458 7.562 5.420
0.0152 0.01508 6.30000 0.5809258819 2.3077037219    0.581 -0.359  3.5719  3.800    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.668 6.335 7.397 5.318
0.0152 0.01508 6.30000 0.6000000238 2.3211213258    0.600 -0.334  3.5764  3.808    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.49e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.605 6.235 7.262 5.235
0.0152 0.01508 6.30000 0.6007449031 2.3216254621    0.601 -0.333  3.5766  3.808    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.602 6.232 7.257 5.232
0.0152 0.01508 6.30000 0.6242025495 2.3367964721    0.624 -0.302  3.5820  3.815    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.524 6.112 7.098 5.133
0.0152 0.01508 6.30000 0.6489194036 2.3514249115    0.649 -0.271  3.5878  3.824    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.447 5.994 6.943 5.034
0.0152 0.01508 6.30000 0.6499999762 2.3520353107    0.650 -0.269  3.5880  3.824    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.444 5.989 6.937 5.030
0.0152 0.01508 6.30000 0.6510087848 2.3526030688    0.651 -0.268  3.5882  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.441 5.985 6.932 5.027
